Country,Population_1950,Population_2021,Absolute_chg,Grow
Afghanistan,7480464,40099460,32618996,5.360557848
Africa,227549260,1393676400,1166127140,6.124723939
Albania,1252587,2854710,1602123,2.279051275
Algeria,9019866,44177964,35158098,4.897851476
American Samoa,19057,45056,25999,2.364275594
Andorra,6028,79057,73029,13.1149635
Angola,4478186,34503776,30025590,7.704855493
Anguilla,5036,15779,10743,3.133240667
Antigua and Barbuda,45456,93229,47773,2.050972369
Argentina,17017748,45276788,28259040,2.660562843
Armenia,1385038,2790971,1405933,2.015086229
Aruba,38818,106543,67725,2.744680303
Asia,1379048300,4694576000,3315527700,3.404214341
Australia,8177169,25921094,17743925,3.169934974
Austria,6936443,8922086,1985643,1.286262426
Azerbaijan,3158966,10312992,7154026,3.264673314
Bahamas,81651,407920,326269,4.995897172
Bahrain,117160,1463266,1346106,12.4894674
Bangladesh,39728540,169356240,129627700,4.262835735
Barbados,210556,281204,70648,1.33553069
Belarus,7906861,9578172,1671311,1.211374779
Belgium,8617340,11611416,2994076,1.34744782
Belize,69134,400037,330903,5.786400324
Benin,2264457,12996901,10732444,5.739522102
Bermuda,37168,64213,27045,1.727642058
Bhutan,176380,777500,601120,4.408096156
Bolivia,3089847,12079474,8989627,3.909408459
Bonaire Sint Eustatius and Saba,7016,26730,19714,3.80986317
Bosnia and Herzegovina,2692914,3270948,578034,1.214650004
Botswana,413489,2588424,2174935,6.259958548
Brazil,53955360,214326220,160370860,3.972287832
British Virgin Islands,7379,31145,23766,4.220761621
Brunei,48290,445382,397092,9.223068958
Bulgaria,7157630,6885864,-271766,0.962031287
Burkina Faso,4213762,22100690,17886928,5.244883313
Burundi,2254121,12551215,10297094,5.568119458
Cambodia,4380384,16589031,12208647,3.787117979
Cameroon,4315823,27198632,22882809,6.302073092
Canada,13743068,38155012,24411944,2.776309628
Cape Verde,185013,587936,402923,3.177809127
Cayman Islands,6937,68157,61220,9.825140551
Central African Rep.,1436604,5457165,4020561,3.798656415
Chad,2512693,17179744,14667051,6.83718385
Chile,6623650,19493184,12869534,2.942967095
China,543979200,1425893500,881914300,2.621227981
Colombia,11769747,51516560,39746813,4.377032064
Comoros,161823,821632,659809,5.077349944
Congo,835136,5835814,5000678,6.98786066
Cook Islands,14703,17028,2325,1.158130994
Costa Rica,948490,5153959,4205469,5.433856973
C̫te d'Ivoire,2736917,27478250,24741333,10.03985506
Croatia,3864694,4060139,195445,1.050571921
Cuba,5926656,11256373,5329717,1.899278953
Curacao,100086,190348,90262,1.901844414
Cyprus,493969,1244193,750224,2.518767372
Czechia,8916638,10510748,1594110,1.178779266
Dem. Rep. Congo,12295748,95894120,83598372,7.798965951
Denmark,4267702,5854246,1586544,1.371756041
Djibouti,62351,1105562,1043211,17.73126333
Dominica,50208,72435,22227,1.442698375
Dominican Republic,2381743,11117873,8736130,4.667956618
Ecuador,3518730,17797736,14279006,5.057999903
Egypt,21150060,109262184,88112124,5.166046054
El Salvador,2182419,6314165,4131746,2.893195578
Equatorial Guinea,226391,1634473,1408082,7.219690712
Eritrea,822581,3620324,2797743,4.401176298
Estonia,1102086,1328704,226618,1.205626421
Eswatini,271656,1192273,920617,4.388907295
Ethiopia,17709958,120283020,102573062,6.791829772
Europe,549721700,745173760,195452060,1.355547289
Faeroe Islands,31682,52915,21233,1.670191276
Falkland Islands,2213,3786,1573,1.710799819
Fiji,308317,924615,616298,2.998910213
Finland,4008294,5535982,1527688,1.381131723
France,41842356,64531450,22689094,1.542251827
French Guiana,23420,297462,274042,12.70119556
French Polynesia,64548,304038,239490,4.710262131
Gabon,472913,2341185,1868272,4.950561731
Gambia,306793,2639922,2333129,8.604896461
Georgia,3517266,3757984,240718,1.068438952
Germany,70964104,83408560,12444456,1.175362688
Ghana,5077600,32833036,27755436,6.466250985
Gibraltar,21422,32698,11276,1.526374755
Greece,7669097,10445368,2776271,1.362007548
Greenland,23142,56266,33124,2.431336963
Grenada,77044,124624,47580,1.617569181
Guadeloupe,215273,396057,180784,1.839789477
Guam,61008,170546,109538,2.795469447
Guatemala,3099871,17608484,14508613,5.680392507
Guernsey,44443,63092,18649,1.419616138
Guinea,2983566,13531909,10548343,4.535481702
Guinea-Bissau,543421,2060730,1517309,3.79214274
Guyana,417734,804571,386837,1.926036664
Haiti,3247240,11447575,8200335,3.525324583
High-income countries,687356540,1245565600,558209060,1.812109913
Honduras,1557940,10278346,8720406,6.597395278
Hong Kong,1980530,7494580,5514050,3.784128491
Hungary,9337718,9709784,372066,1.039845495
Iceland,142666,370338,227672,2.595839233
India,357021120,1407563900,1050542780,3.942522784
Indonesia,69567624,273753180,204185556,3.935065829
Iran,16832842,87923430,71090588,5.223326518
Iraq,5656483,43533590,37877107,7.696229265
Ireland,2906608,4986525,2079917,1.715582218
Isle of Man,54838,84286,29448,1.536999891
Israel,1284166,8900057,7615891,6.930612553
Italy,46391944,59240336,12848392,1.276953085
Jamaica,1407472,2827701,1420229,2.009063768
Japan,84353060,124612530,40259470,1.477273379
Jersey,56875,109634,52759,1.927630769
Jordan,438397,11148288,10709891,25.42966307
Kazakhstan,6655677,19196468,12540791,2.8842247
Kenya,5774050,53005616,47231566,9.17997177
Kiribati,37871,128883,91012,3.4032109
Kosovo,767280,1662022,894742,2.166121885
Kuwait,153754,4250111,4096357,27.64227923
Kyrgyzstan,1751232,6527742,4776510,3.727514116
Land-locked developing countries (LLDC),103789040,550846400,447057360,5.307365787
Laos,1684682,7425055,5740373,4.407392612
Latin America and the Caribbean,168335840,656098100,487762260,3.897554436
Latvia,1922524,1873926,-48598,0.974721772
Least developed countries,197100140,1099568600,902468460,5.57873069
Lebanon,1349596,5592626,4243030,4.143926034
Lesotho,579478,2281464,1701986,3.937102013
Less developed regions,1693069300,6633179000,4940109700,3.917842583
"Less developed regions, excluding China",1139289600,5175244300,4035954700,4.542518689
"Less developed regions, excluding least developed countries",1495969200,5533610500,4037641300,3.699013656
Liberia,915910,5193422,4277512,5.670231791
Libya,1130680,6735280,5604600,5.956840132
Liechtenstein,13789,39058,25269,2.832547683
Lithuania,2564806,2786652,221846,1.086496211
Low-income countries,117442280,718255100,600812820,6.115813658
Lower-middle-income countries,788620700,3396756500,2608135800,4.307211946
Luxembourg,296589,639330,342741,2.155609277
Macao,196852,686616,489764,3.487980818
Madagascar,3953898,28915652,24961754,7.313201302
Malawi,2949747,19889742,16939995,6.74286371
Malaysia,5972878,33573870,27600992,5.621054038
Maldives,74497,521469,446972,6.999865766
Mali,4694920,21904990,17210070,4.665679074
Malta,291881,526751,234870,1.804677249
Marshall Islands,13085,42074,28989,3.215437524
Martinique,232006,368799,136793,1.589609751
Mauritania,658563,4614981,3956418,7.007653026
Mauritius,525445,1298922,773477,2.472041793
Mayotte,20568,316022,295454,15.36474135
Mexico,27600140,126705140,99105000,4.590742656
Micronesia (country),31934,113143,81209,3.543026242
Moldova,2370314,3061509,691195,1.291604825
Monaco,19755,36713,16958,1.858415591
Mongolia,781264,3347782,2566518,4.285084171
Montenegro,402266,627856,225590,1.560798079
Montserrat,13011,4438,-8573,0.341095996
More developed regions,806252900,1276116100,469863200,1.582773966
Morocco,8946213,37076588,28130375,4.14438914
Mozambique,5920221,32077074,26156853,5.418222394
Myanmar,17731816,53798090,36066274,3.033986479
Namibia,514785,2530150,2015365,4.9149645
Nauru,3374,12533,9159,3.714582098
Nepal,8398952,30034988,21636036,3.576039963
Netherlands,10093555,17501696,7408141,1.733947653
New Caledonia,63884,287809,223925,4.505181266
New Zealand,1911611,5129730,3218119,2.683459135
Nicaragua,1330447,6850546,5520099,5.149055919
Niger,2569201,25252722,22683521,9.82901766
Nigeria,37189376,213401330,176211954,5.738233683
Niue,4509,1957,-2552,0.434020847
North Korea,11103386,25971910,14868524,2.339098181
North Macedonia,1251437,2103329,851892,1.680731032
Northern America,162089340,375278940,213189600,2.315259844
Northern Mariana Islands,7083,49503,42420,6.988987717
Norway,3281428,5403021,2121593,1.64654565
Oceania,12577612,44491724,31914112,3.537374503
Oman,457321,4520474,4063153,9.884684937
Pakistan,37696264,231402110,193705846,6.138595326
Palau,7451,18050,10599,2.422493625
Palestine,944814,5133393,4188579,5.433231303
Panama,861090,4351264,3490174,5.053204659
Papua New Guinea,1542863,9949438,8406575,6.448685334
Paraguay,1504818,6703802,5198984,4.45489222
Peru,7678967,33715464,26036497,4.390624937
Philippines,18469880,113880340,95410460,6.165732533
Poland,24786240,38307724,13521484,1.545523807
Portugal,8416952,10290109,1873157,1.222545762
Puerto Rico,2229747,3256030,1026283,1.460268811
Qatar,24310,2688239,2663929,110.5816125
Reunion,249310,966132,716822,3.875223617
Romania,16392973,19328558,2935585,1.179075815
Russia,102580110,145102750,42522640,1.414531043
Rwanda,2154225,13461891,11307666,6.249064513
Saint Barthelemy,2027,10888,8861,5.371484953
Saint Helena,5249,5428,179,1.034101734
Saint Kitts and Nevis,47275,47631,356,1.007530407
Saint Lucia,86716,179663,92947,2.071855252
Saint Martin (French part),2999,31964,28965,10.65821941
Saint Pierre and Miquelon,4497,5905,1408,1.313097621
Saint Vincent and the Grenadines,61563,104340,42777,1.694849179
Samoa,87970,218781,130811,2.486995567
San Marino,12987,33772,20785,2.6004466
Sao Tome and Principe,60993,223118,162125,3.658091912
Saudi Arabia,3089697,35950396,32860699,11.63557333
Senegal,2496070,16876726,14380656,6.761319194
Serbia,6017687,7296771,1279084,1.212554093
Seychelles,38129,106486,68357,2.792782397
Sierra Leone,2000793,8420642,6419849,4.208652269
Singapore,1006712,5941063,4934351,5.901452451
Sint Maarten (Dutch part),1480,44061,42581,29.77094595
Slovakia,3465627,5447621,1981994,1.571900554
Slovenia,1445042,2119408,674366,1.466675709
Small island developing states (SIDS),23480044,73767220,50287176,3.141698542
Solomon Islands,105227,707855,602628,6.726933202
Somalia,2213058,17065588,14852530,7.711315293
South Africa,13043843,59392256,46348413,4.553278968
South Korea,20104016,51830136,31726120,2.578098625
S. Sudan,2492083,10748278,8256195,4.312969512
Spain,28069696,47486932,19417236,1.691750848
Sri Lanka,7945979,21773438,13827459,2.740183179
Sudan,6191328,45657204,39465876,7.374379778
Suriname,195769,612989,417220,3.131185223
Sweden,7014611,10467095,3452484,1.49218467
Switzerland,4692636,8691409,3998773,1.852137903
Syria,3543542,21324366,17780824,6.017810993
Taiwan,7623139,23859904,16236765,3.129931646
Tajikistan,1526142,9750078,8223936,6.38870957
Tanzania,7632405,63588332,55955927,8.331362395
Thailand,20411638,71601100,51189462,3.507856645
Timor,414793,1320944,906151,3.184586047
Togo,1398532,8644829,7246297,6.181359454
Tokelau,1618,1869,251,1.15512979
Tonga,49849,106034,56185,2.127103854
Trinidad and Tobago,648619,1525671,877052,2.352183639
Tunisia,3606294,12262949,8656655,3.400429638
Turkey,20977698,84775410,63797712,4.041216057
Turkmenistan,1214109,6341850,5127741,5.223460167
Turks and Caicos Islands,5057,45141,40084,8.9264386
Tuvalu,4756,11229,6473,2.361017662
Uganda,5750643,45853780,40103137,7.973678769
Ukraine,37303000,43531424,6228424,1.166968448
United Arab Emirates,74613,9365149,9290536,125.5163175
United Kingdom,50055068,67281040,17225972,1.344140418
United States of America,148281550,336997630,188716080,2.272687533
United States Virgin Islands,27100,100100,73000,3.693726937
Upper-middle-income countries,900338500,2519863600,1619525100,2.798795786
Uruguay,2234152,3426265,1192113,1.533586345
Uzbekistan,6247555,34081452,27833897,5.455166381
Vanuatu,51587,319146,267559,6.186558629
Venezuela,5488619,28199862,22711243,5.13787931
Vietnam,25109200,97468024,72358824,3.881765409
Wallis and Futuna,8556,11654,3098,1.362085086
Western Sahara,13003,565590,552587,43.49688533
World,2499322000,7909295000,5409973000,3.164576233
Yemen,4712813,32981644,28268831,6.998292527
Zambia,2318453,19473132,17154679,8.399192047
Zimbabwe,2791336,15993525,13202189,5.729702551